# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"Best Practices & Benchmarking in Healthcare","Best Pract. Benchmarking Healthc."
"Best's Review. Life/Health Insurance Edition","Bests Rev. Life. Health Insur. Ed."
"Bibliotek for Laeger","Bibl. Laeger"
"Bibliotheca Anatomica","Bibl. Anat."
"Bibliotheca Cardiologica","Bibl. Cardiol."
"Bibliotheca Gastroenterologica","Bibl. Gastroenterol."
"Bibliotheca Gynaecologica","Bibl. Gynaecol."
"Bibliotheca Haematologica","Bibl. Haematol."
"Bibliotheca Microbiologica","Bibl. Microbiol."
"Bibliotheca Nutritio et Dieta","Bibl. Nutr. Dieta"
"Bibliotheca Ophthalmologica","Bibl. Ophthalmol."
"Bibliotheca Paediatrica","Bibl. Paediatr."
"Bibliotheca Psychiatrica","Bibl. Psychiatr."
"Bibliotheca Psychiatrica et Neurologica","Bibl. Psychiatr. Neurol."
"Bibliotheca Radiologica","Bibl. Radiol."
"Bibliotheca Tuberculosea","Bibl. Tuberc."
"Biken Journal","Biken J."
"Bildgebung","Bildgebung"
"Bilten Mednarodne Federacije Zobotehnikov (Bulletin of the International Federation of Dental Technicians)","Bilt. Mednar. Fed. Zob. Teh."
"Bilten Udruzenja Ortodonata Jugoslavije","Bilt. Udruz. Ortodonata Jugosl."
"Bilten za Hematologiju i Transfuziju","Bilt. Hematol. Transfuz."
"Binocular Vision and Strabismus Quarterly","Binocul. Vis. Strabismus Q."
"Bio-Medical Materials and Engineering","Biomed. Mater. Eng."
"Bio/Medical Instrumentation","Biomed. Instrum."
"Bio/Technology","Biotechnology. (N. Y.)"
"Bioactive Carbohydrates and Dietary Fibre","Bioact. Carbohydr. Diet. Fibre"
"Bioanalysis","Bioanalysis"
"Biocatalysis and Biotransformation","Biocatal. Biotransform."
"Biocell","Biocell"
"Biochemical and Biophysical Research Communications","Biochem. Biophys. Res. Commun."
"Biochemical and Molecular Medicine","Biochem. Mol. Med."
"Biochemical Genetics","Biochem. Genet."
"Biochemical Journal","Biochem. J."
"Biochemical Medicine","Biochem. Med."
"Biochemical Medicine and Metabolic Biology","Biochem. Med. Metab. Biol."
"Biochemical Pharmacology","Biochem. Pharmacol."
"Biochemical Pharmacology (Amsterdam, Netherlands)","Biochem. Pharmacol. (Amsterdam, Neth.)"
"Biochemical Society Symposia","Biochem. Soc. Symp."
"Biochemical Society Transactions","Biochem. Soc. Trans."
"Biochemical Systematics and Ecology","Biochem. Syst. Ecol."
"Biochemische Zeitschrift","Biochem. Z."
"Biochemistry","Biochemistry"
"Biochemistry (Moscow)","Biochemistry (Mosc.)"
"Biochemistry and Cell Biology","Biochem. Cell Biol."
"Biochemistry and Experimental Biology","Biochem. Exp. Biol."
"Biochemistry and Molecular Biology Education","Biochem. Mol. Biol. Educ."
"Biochemistry and Molecular Biology International","Biochem. Mol. Biol. Int."
"Biochemistry International","Biochem. Int."
"BioChemistry: An Indian Journal","BioChem.: Indian J."
"Biochimica et Biophysica Acta","Biochim. Biophys. Acta"
"Biochimica et Biophysica Acta, Bioenergetics","Biochim. Biophys. Acta, Bioenerg."
"Biochimica et Biophysica Acta, Gene Regulatory Mechanisms","Biochim. Biophys. Acta, Gene Regul. Mech."
"Biochimica et Biophysica Acta, General Subjects","Biochim. Biophys. Acta, Gen. Subj."
"Biochimica et Biophysica Acta, Molecular and Cell Biology of Lipids","Biochim. Biophys. Acta, Mol. Cell Biol. Lipids"
"Biochimica et Biophysica Acta, Molecular Basis of Disease","Biochim. Biophys. Acta, Mol. Basis Dis."
"Biochimica et Biophysica Acta, Molecular Cell Research","Biochim. Biophys. Acta, Mol. Cell Res."
"Biochimica et Biophysica Acta, Proteins and Proteomics","Biochim. Biophys. Acta, Proteins Proteomics"
"Biochimica et Biophysica Acta, Reviews on Cancer","Biochim. Biophys. Acta, Rev. Cancer"
"Biochimie","Biochimie"
"BioChip Journal","BioChip J."
"Bioconjugate Chemistry","Bioconjugate Chem."
"Biodegradation","Biodegradation"
"BioDrugs","BioDrugs"
"Biodynamica","Biodynamica"
"Bioelectrochemistry","Bioelectrochemistry"
"Bioelectrochemistry and Bioenergetics","Bioelectrochem. Bioenerg."
"Bioelectromagnetics","Bioelectromagnetics"
"Bioessays","Bioessays"
"Bioethics Quarterly","Bioethics Q."
"BioFactors","BioFactors"
"Biofeedback and Self Regulation","Biofeedback Self Regul."
"Biofizika","Biofizika"
"Biofuels","Biofuels"
"Biofuels, Bioproducts & Biorefining","Biofuels, Bioprod. Biorefin."
"Biogenic Amines","Biog. Amines"
"Biogerontology","Biogerontology"
"Bioinformatics","Bioinformatics"
"Bioinorganic Chemistry","Bioinorg. Chem."
"Bioinorganic Chemistry and Applications","Bioinorg. Chem. Appl."
"BioInorganic Reaction Mechanisms","BioInorg. React. Mech."
"Biokhimiia","Biokhimiia"
"Biologia","Biologia (Bratisl.)"
"Biologia Neonatorum","Biol. Neonat."
"Biologica","Biologica (Santiago)."
"Biologica Latina","Biol. Lat."
"Biological & Pharmaceutical Bulletin","Biol. Pharm. Bull."
"Biological and Pharmaceutical Bulletin","Biol. Pharm. Bull."
"Biological Bulletin","Biol. Bull."
"Biological Chemistry","Biol. Chem."
"Biological Chemistry Hoppe-Seyler","Biol. Chem. Hoppe-Seyler"
"Biological Cybernetics","Biol. Cybern."
"Biological Journal of the Linnean Society of London","Biol. J. Linn. Soc. Lond."
"Biological Mass Spectrometry","Biol. Mass Spectrom."
"Biological Psychiatry","Biol. Psychiatry"
"Biological Psychology","Biol. Psychol."
"Biological Research","Biol. Res."
"Biological Research for Nursing","Biol. Res. Nurs."
"Biological Research in Pregnancy and Perinatology","Biol. Res. Pregnancy Perinatol."
"Biological Reviews of the Cambridge Philosophical Society","Biol. Rev. Camb. Philos. Soc."
"Biological Signals","Biol. Signals"
"Biological Signals and Receptors","Biol. Signals Recept."
"Biological Structures and Morphogenesis","Biol. Struct. Morphog."
"Biological Trace Element Research","Biol. Trace Elem. Res."
"Biologicals","Biologicals"
"Biologicheskie Membrany","Biol. Membr."
"Biologicheskie Nauki","Biol. Nauki"
"Biologie Cellulaire","Biol. Cell."
"Biologie et Gastro-Enterologie","Biol. Gastroenterol. (Paris)"
"Biologie Medicale","Biol. Med. (Paris)"
"Biology Bulletin of the Academy of Sciences of the USSR","Biol. Bull. Acad. Sci. USSR"
"Biology of Blood and Marrow Transplantation","Biol. Blood Marrow Transplant."
"Biology of Metals","Biol. Met."
"Biology of Reproduction","Biol. Reprod."
"Biology of the Cell","Biol. Cell"
"Biology of the Neonate","Biol. Neonate"
"Biomacromolecular Mass Spectrometry","Biomacromol. Mass Spectrom."
"Biomacromolecules","Biomacromolecules"
"Biomarkers","Biomarkers"
"Biomarkers in Medicine","Biomarkers Med."
"Biomaterials","Biomaterials"
"Biomaterials Science","Biomater. Sci."
"Biomaterials, Artificial Cells, and Artificial Organs","Biomater. Artif. Cells. Artif. Organs"
"Biomaterials, Artificial Cells, and Immobilization Biotechnology","Biomater. Artif. Cells. Immobilization Biotechnol."
"Biomaterials, Medical Devices and Artificial Organs","Biomater. Med. Devices Artif. Organs"
"Biomechanics and Modeling in Mechanobiology","Biomech. Model. Mechanobiol."
"Biomedica Biochimica Acta","Biomed. Biochim. Acta"
"Biomedical and Environmental Mass Spectrometry","Biomed. Environ. Mass Spectrom."
"Biomedical and Environmental Sciences","Biomed. Environ. Sci."
"Biomedical Chromatography","Biomed. Chromatogr."
"Biomedical Communications","Biomed. Commun."
"Biomedical Engineering","Biomed. Eng."
"Biomedical Engineering Online","Biomed. Eng. Online"
"Biomedical Instrumentation and Technology","Biomed. Instrum. Technol."
"Biomedical Mass Spectrometry","Biomed. Mass Spectrom."
"Biomedical Materials (Bristol, United Kingdom)","Biomed. Mater. (Bristol, U. K.)"
"Biomedical Peptides, Proteins and Nucleic Acids","Biomed. Pept. Proteins Nucleic Acids"
"Biomedical Research","Biomed. Res."
"Biomedical Science","Biomed. Sci."
"Biomedical Science and Technology","Biomed. Sci. Technol."
"Biomedical Sciences Instrumentation","Biomed. Sci. Instrum."
"Biomedicine","Biomedicine"
"Biomedicine and Pharmacotherapy","Biomed. Pharmacother."
"Biomeditsinskaya Khimiya","Biomed. Khim."
"Biomedizinische Technik (Biomedical Engineering)","Biomed. Tech. (Berl)"
"Biomembranes","Biomembranes"
"BioMetals","BioMetals"
"Biometrics","Biometrics"
"Biometrika","Biometrika"
"Biometrische Zeitschrift","Biom. Z."
"Biomolecular Concepts","Biomol. Concepts"
"Biomolecular Engineering","Biomol. Eng."
"Biomolecular NMR Assignments","Biomol. NMR Assignments"
"Biomolecules","Biomolecules"
"Bioorganic & Medicinal Chemistry","Bioorg. Med. Chem."
"Bioorganic & Medicinal Chemistry Letters","Bioorg. Med. Chem. Lett."
"Bioorganic and Medicinal Chemistry","Bioorg. Med. Chem."
"Bioorganic and Medicinal Chemistry Letters","Bioorg. Med. Chem. Lett."
"Bioorganic Chemistry","Bioorg. Chem."
"Bioorganicheskaia Khimiia","Bioorg. Khim."
"Biopharmaceutics & Drug Disposition","Biopharm. Drug Dispos."
"Biopharmaceutics and Drug Disposition","Biopharm. Drug Dispos."
"Biophysical Chemistry","Biophys. Chem."
"Biophysical Journal","Biophys. J."
"Biophysics (English Translation)","Biophysics (Engl. Transl.)"
"Biophysics of Structure and Mechanism","Biophys. Struct. Mech."
"Biophysik","Biophysik"
"Biopolymers","Biopolymers"
"Bioprocess and Biosystems Engineering","Bioprocess Biosyst. Eng."
"Bioprocess Technology","Bioprocess Technol."
"Bioresource Technology","Bioresour. Technol."
"BioResources","BioResources"
"Biorheology","Biorheology"
"Biorheology. Supplement","Biorheology. Suppl."
"Bioscience","Bioscience"
"Bioscience Reports","Biosci. Rep."
"Bioscience, Biotechnology, and Biochemistry","Biosci., Biotechnol., Biochem."
"Biosecurity and Bioterrorism","Biosecur. Bioterror."
"Biosensors","Biosensors"
"Biosensors & Bioelectronics","Biosens. Bioelectron."
"Biosensors and Bioelectronics","Biosens. Bioelectron."
"Bioseparation","Bioseparation"
"Biospectroscopy","Biospectroscopy"
"Biosystems","Biosystems"
"Biotechnic and Histochemistry","Biotech. Histochem."
"BioTechniques","BioTechniques"
"Biotechnology","Biotechnology"
"Biotechnology and Applied Biochemistry","Biotechnol. Appl. Biochem."
"Biotechnology and Bioengineering","Biotechnol. Bioeng."
"Biotechnology and Bioengineering Symposium","Biotechnol. Bioeng. Symp."
"Biotechnology and Bioprocess Engineering","Biotechnol. Bioprocess Eng."
"Biotechnology and Genetic Engineering Reviews","Biotechnol. Genet. Eng. Rev."
"Biotechnology Annual Review","Biotechnol. Annu. Rev."
"Biotechnology Journal","Biotechnol. J."
"Biotechnology Letters","Biotechnol. Lett."
"Biotechnology Progress","Biotechnol. Prog."
"Biotechnology Therapeutics","Biotechnol. Ther."
"Biotelemetry","Biotelemetry"
"Biotelemetry and Patient Monitoring","Biotelem. Patient Monit."
"Biotherapy","Biotherapy"
"Bipolar Disorders","Bipolar Disord."
"Birth","Birth"
"Birth Defects Original Article Series","Birth Defects Orig. Artic. Ser."
"Birth Defects Research, Part A: Clinical and Molecular Teratology","Birth Defects Res., Part A"
"Birth Defects Research, Part B: Developmental and Reproductive Toxicology","Birth Defects Res., Part B"
"Birth Defects Research, Part C: Embryo Today--Reviews","Birth Defects Res., Part C"
"Birth Defects Research. Part A, Clinical and Molecular Teratology","Birt. Defects Res. A. Clin. Mol. Teratol."
"Birth Defects Research. Part B, Developmental and Reproductive Toxicology","Birth Defects Res. B. Dev. Reprod. Toxicol."
"Birth Defects Research. Part C, Embryo Today","Birth Defects Res. C. Embryo Today"
"Birth Gazette","Birth Gaz."
"Bitamin","Bitamin"
"Biuletyn Instytutu Medycyny Morskiej w Gdansku","Biul. Inst. Med. Morsk. Gdansk."
"Biulleten Eksperimentalnoi Biologii i Meditsiny","Biull. Eksp. Biol. Med."
"Biulleten Vsesoiuznogo Kardiologicheskogo Nauchnogo Tsentra AMN SSSR","Biull. Vsesoiuznogo Kardiol. Nauchn. Tsentra AMN SSSR"
"BJOG","BJOG"
"BJR Supplement","BJR Suppl."
"BJU International","BJU Int."
"Blatter fur Zahnheilkunde","Bl. Zahnheilkd."
"Blood","Blood"
"Blood Cells","Blood Cells"
"Blood Cells, Molecules, and Diseases","Blood Cells. Mol. Dis."
"Blood Coagulation and Fibrinolysis","Blood Coagul. Fibrinolysis"
"Blood Pressure","Blood Press."
"Blood Pressure Monitoring","Blood Press. Monit."
"Blood Pressure. Supplement","Blood Press. Suppl."
"Blood Purification","Blood Purif."
"Blood Reviews","Blood Rev."
"Blood Vessels","Blood Vessels"
"Blue Cross Association Research Series","Blue Cross Assoc. Res. Ser."
"Blut","Blut"
"Blutalkohol","Blutalkohol"
"BMB Reports","BMB Rep."
"BMC Biology","BMC Biol."
"BMC Biotechnology","BMC Biotechnol."
"BMC Cancer","BMC Cancer"
"BMC Cardiovascular Disorders","BMC Cardiovasc. Disord."
"BMC Cell Biology","BMC Cell Biol."
"BMC Clinical Pharmacology","BMC Clin. Pharmacol."
"BMC Complementary and Alternative Medicine","BMC Complement. Altern. Med."
"BMC Dermatology","BMC Dermatol."
"BMC Developmental Biology","BMC Dev. Biol."
"BMC Ecology","BMC Ecol."
"BMC Evolutionary Biology","BMC Evol. Biol."
"BMC Gastroenterology","BMC Gastroenterol."
"BMC Geriatrics","BMC Geriatr."
"BMC Health Services Research","BMC Health Serv. Res."
"BMC Infectious Diseases","BMC Infect. Dis."
"BMC Medical Education","BMC Med. Educ."
"BMC Medical Informatics and Decision Making","BMC Med. Inform. Decis. Mak."
"BMC Medical Research Methodology","BMC Med. Res. Methodol."
"BMC Medicine","BMC Med."
"BMC Microbiology","BMC Microbiol."
"BMC Neurology","BMC Neurol."
"BMC Ophthalmology","BMC Ophthalmol."
"BMC Pediatrics","BMC Pediatr."
"BMC Pharmacology","BMC Pharmacol."
"BMC Physiology","BMC Physiol."
"BMC Plant Biology","BMC Plant Biol."
"BMC Psychiatry","BMC Psychiatry"
"BMC Public Health","BMC Public Health"
"BMC Pulmonary Medicine","BMC Pulm. Med."
"BMC Structural Biology","BMC Struct. Biol."
"BMC Surgery","BMC Surg."
"BMC Urology","BMC Urol."
"BMJ: British Medical Journal","BMJ"
"BMQ: The Boston Medical Quarterly","BMQ."
"BNWL Reports","BNWL Rep."
"Boletim da Divisao Nacional de Dermatologia Sanitaria","Bol. Div. Nac. Dermatol. Sanit."
"Boletim da Equipe de Odontologia Sanitaria","Bol. Equipe Odontol. Sanit."
"Boletim da Faculdade de Farmacia e Odontologia de Ribeirao Preto","Bol. Fac. Farm. Odontol. Ribeirao Preto"
"Boletim de Dentistica Operatoria","Bol. Dent. Oper."
"Boletim de Materias Dentarios","Bol. Mat. Dent."
"Boletim do Instituto de Puericultura e Pediatria Martagao Gesteira","Bol. Inst. Pueric. Martagao Gesteira"
"Boletim do Sanatorio Sao Lucas","Bol. Sanat. Sao Lucas"
"Boletim do Servico de Odontologia Sanitaria da Secretaria da Saude do Rio Grande do Sul","Bol. Serv. Odontol. Sanit. (Porto Alegre)"
"Boletim, Faculdade de Odontologia de Piracicaba","Bol. Fac. Odontol. Piracicaba"
"Boletin Chileno de Parasitologia","Bol. Chil. Parasitol."
"Boletin de Estudios Medicos y Biologicos","Bol. Estud. Med. Biol."
"Boletin de Informacion Dental","Bol. Inf. Dent. (Madr.)"
"Boletin de Informacion, Ilustre Colegio Oficial de Odontologos y Estomatologos, 2a Region, Cataluna","Bol. Inf. Col. Odontol. Estomatol. (Barc.)"
"Boletin de la AAON","Bol. AAON"
"Boletin de la Asociacion Venezolana de Enfermeras Profesionales","Bol. Asoc. Venez. Enferm. Prof."
"Boletin de la Direccion General de Odontologia","Bol. Dir. Gen. Odontol. (Santa Fe)"
"Boletin de la Oficina Sanitaria Panamericana","Bol. Oficina Sanit. Panam."
"Boletin de la Sociedad Dental de Guatemala","Bol. Soc. Dent. Guatem."
"Boletin de la Sociedad Estomatologica Argentina","Bol. Soc. Estomatol. Argent."
"Boletin de Odontologia","Bol. Odontol. (Bogota)"
"Boletin de Protesis","Bol. Protes."
"Boletin del Circulo Argentina de Odontologia","Bol. Circ. Argent. Odontol."
"Boletin del Instituto de Estudios Medicos y Biologicos, Universidad Nacional Autonoma de Mexico","Bol. Inst. Estud. Med. Biol. Univ. Nac. Auton. Mex."
"Boletin Dental Uruguayo","Bol. Dent. Urug."
"Boletin Medico del Hospital Infantil de Mexico","Bol. Med. Hosp. Infant. Mex."
"Boletin Odontologico","Bol. Odontol. (B. Aires)"
"Boletin Odontologico Mexicano","Bol. Odontol. Mex."
"Boletin, Asociacion Medica de Puerto Rico","Bol. Asoc. Med. P. R."
"Boletin, Colegio de Profesionales de la Enfermeria de Puerto Rico","Bol. Col. Prof. Enferm. P. R."
"Boletines y Trabajos, Sociedad de Cirugia de Buenos Aires","Bol. Trab. Soc. Cir. B. Aires"
"Boletín chileno de parasitología","Bol. chil. parasitol."
"Bollettino Chimico Farmaceutico","Boll. Chim. Farm."
"Bollettino d'Informazioni della Consociazione Nazionale Infermiere Professionali e Assistenti Sanitaire Visitatrici","Boll. Inf. Consoc. Naz. (Rome)"
"Bollettino d'Oculistica","Boll. Ocul."
"Bollettino dell Istituto Sieroterapico Milanese","Boll. Ist. Sieroter. Milan."
"Bollettino della Societa Italiana di Cardiologia","Boll. Soc. Ital. Cardiol."
"Bollettino delle Malattie dell Orecchio, della Gola, del Naso","Boll. Mal. Orecch. Gola. Naso"
"Bollettino Metallografico","Boll. Metallogr."
"Bollettino, Societa Italiana Biologia Sperimentale","Boll. Soc. Ital. Biol. Sper."
"Bollettino, Societa Medico Chirurgica Cremona","Boll. Soc. Med. Chir. Cremona"
"Bone","Bone"
"Bone and Mineral","Bone Miner."
"Bone Marrow Transplantation","Bone Marrow Transplant."
"Bone Research","Bone Res."
"Book Supplement to the Journal of Child Psychology and Psychiatry","Book Suppl. J. Child Psychol. Psychiatr."
"Bopuxue Zazhi","Bopuxue Zazhi"
"Bordeaux Chirurgical","Bord. Chir."
"Bordeaux Medical","Bord. Med."
"Borden's Review of Nutrition Research","Bordens Rev. Nutr. Res."
"Bornetandlaegen","Bornetandlaegen"
"Brachytherapy","Brachytherapy"
"Brain","Brain"
"Brain and Cognition","Brain Cogn."
"Brain and Development","Brain Dev."
"Brain and Language","Brain Lang."
"Brain Cell Biology","Brain Cell Biol."
"Brain Injury","Brain Inj."
"Brain Pathology","Brain Pathol."
"Brain Research","Brain Res."
"Brain Research Bulletin","Brain Res. Bull."
"Brain Research. Brain Research Protocols","Brain Res. Brain Res. Protoc."
"Brain Research. Brain Research Reviews","Brain Res. Brain Res. Rev."
"Brain Research. Cognitive Brain Research","Brain Res. Cogn. Brain Res."
"Brain Research. Developmental Brain Research","Brain Res. Dev. Brain Res."
"Brain Research. Molecular Brain Research","Brain Res. Mol. Brain Res."
"Brain Structure and Function","Brain Struct. Funct."
"Brain Topography","Brain Topogr."
"Brain Tumor Pathology","Brain Tumor Pathol."
"Brain, Behavior and Evolution","Brain. Behav. Evol."
"Brain, Behavior and Immunity","Brain. Behav. Immun."
"Bratislavske Lekarske Listy","Bratisl. Lek. Listy"
"Brazilian Dental Journal","Braz. Dent. J."
